FID,OBJECTID,ZIPCODE_x,ZIP,TOOLTIP,NLA_URL,ZIP_INT,ZIPCODE_y,PERCENTAGE,percenta_1,Shape__Area,Shape__Length
90,90,90265,90265,Zip Code: 90265,navigatela/reports/zipcode_county_report.cfm?pk=90265,90265,90265,0.1818%,0.1818,307049990.976563,129407.904880488
91,91,90266,90266,Zip Code: 90266,navigatela/reports/zipcode_county_report.cfm?pk=90266,90266,90266,0.0727%,0.0727,14723249.1875,17633.6950890634
92,92,90270,90270,Zip Code: 90270,navigatela/reports/zipcode_county_report.cfm?pk=90270,90270,90270,0.0364%,0.0364,4482736.40625,11184.1174761141
93,93,90272,90272,Zip Code: 90272,navigatela/reports/zipcode_county_report.cfm?pk=90272,90272,0, ,0.0,91999993.1523438,51765.2018506287
94,94,90274,90274,Zip Code: 90274,navigatela/reports/zipcode_county_report.cfm?pk=90274,90274,90274,0.0364%,0.0364,45152854.703125,68074.0771001142
95,95,90275,90275,Zip Code: 90275,navigatela/reports/zipcode_county_report.cfm?pk=90275,90275,90275,0.0727%,0.0727,50159117.7460938,75765.6871514218
96,96,90277,90277,Zip Code: 90277,navigatela/reports/zipcode_county_report.cfm?pk=90277,90277,90277,0.2181%,0.2181,13614228.1015625,21209.9816052795
97,97,90278,90278,Zip Code: 90278,navigatela/reports/zipcode_county_report.cfm?pk=90278,90278,90278,0.2181%,0.2181,13412492.6953125,20371.8905157191
98,98,90280,90280,Zip Code: 90280,navigatela/reports/zipcode_county_report.cfm?pk=90280,90280,90280,0.3999%,0.3999,28354627.7617188,38397.7661052634
99,99,90290,90290,Zip Code: 90290,navigatela/reports/zipcode_county_report.cfm?pk=90290,90290,90290,0.0727%,0.0727,70863222.125,49617.8942217925
100,100,90291,90291,Zip Code: 90291,navigatela/reports/zipcode_county_report.cfm?pk=90291,90291,90291,0.1454%,0.1454,8891874.421875,14122.5841246723
101,101,90292,90292,Zip Code: 90292,navigatela/reports/zipcode_county_report.cfm?pk=90292,90292,90292,0.1454%,0.1454,9289753.66796875,13902.1267382161
102,102,90293,90293,Zip Code: 90293,navigatela/reports/zipcode_county_report.cfm?pk=90293,90293,90293,0.1818%,0.1818,7070207.92578125,20943.4516732358
103,103,90301,90301,Zip Code: 90301,navigatela/reports/zipcode_county_report.cfm?pk=90301,90301,90301,0.2545%,0.2545,12941030.8046875,20786.1604021737
104,104,90302,90302,Zip Code: 90302,navigatela/reports/zipcode_county_report.cfm?pk=90302,90302,90302,0.3272%,0.3272,7010941.45703125,14308.1703224347
